year,geo_name,geo,total_reimbursements_b
2011,"Willacy County","05000US48489",12844.0
2011,"Baker County","05000US12003",12835.0
2010,"Bell County","05000US21013",12833.0
2011,"Franklin Parish","05000US22041",12826.0
2010,"Young County","05000US48503",12825.0
2011,"Trinity County","05000US48455",12824.0
2014,"Trousdale County","05000US47169",12823.0
2010,"Martin County","05000US21159",12815.0
2014,"Baker County","05000US12003",12812.0
2012,"Macon County","05000US47111",12812.0
2010,"Hall County","05000US48191",12810.0
2010,"Greer County","05000US40055",12809.0
2013,"Bienville Parish","05000US22013",12809.0
2014,"West Carroll Parish","05000US22123",12806.0
2011,"Zapata County","05000US48505",12804.0
2013,"Casey County","05000US21045",12803.0
2014,"Wheeler County","05000US13309",12801.0
2013,"Floyd County","05000US21071",12795.0
2010,"Union Parish","05000US22111",12791.0
2014,"Franklin County","05000US28037",12789.0
2010,"Warren County","05000US28149",12789.0
2014,"Okeechobee County","05000US12093",12781.0
2012,"Scott County","05000US28123",12781.0
2014,"Faulk County","05000US46049",12780.0
2011,"Adair County","05000US21001",12778.0
2012,"McCurtain County","05000US40089",12769.0
2014,"Hardin County","05000US17069",12768.0
2014,"Avoyelles Parish","05000US22009",12768.0
2011,"Livingston Parish, LA","05000US22063",12765.0
2012,"Bolivar County","05000US28011",12765.0
2014,"Terry County","05000US48445",12765.0
2014,"Hartley County","05000US48205",12764.0
2014,"Buffalo County","05000US46017",12764.0
2014,"Madison Parish","05000US22065",12762.0
2012,"Red River County","05000US48387",12758.0
2013,"Marshall County","05000US40095",12756.0
2011,"Robertson County","05000US21201",12755.0
2014,"Sunflower County","05000US28133",12755.0
2012,"Jefferson County","05000US40067",12750.0
2011,"Bland County","05000US51021",12749.0
2014,"Winn Parish","05000US22127",12746.0
2010,"Sharkey County","05000US28125",12743.0
2014,"Marshall County","05000US40095",12742.0
2014,"Crane County","05000US48103",12741.0
2013,"Johnston County","05000US40069",12741.0
2010,"Pushmataha County","05000US40127",12739.0
2013,"Leslie County","05000US21131",12738.0
2014,"Scott County","05000US20171",12736.0
2014,"Martin County","05000US21159",12735.0
2014,"Greene County","05000US28041",12734.0
2012,"Livingston Parish, LA","05000US22063",12732.0
2012,"Houston County","05000US47083",12719.0
2012,"Ouachita Parish, LA","05000US22073",12718.0
2011,"Morehouse Parish","05000US22067",12717.0
2014,"Gove County","05000US20063",12716.0
2011,"Green County","05000US21087",12713.0
2010,"Chambers County","05000US48071",12713.0
2010,"Bacon County","05000US13005",12712.0
2010,"Letcher County","05000US21133",12697.0
2014,"Bryan County","05000US40013",12697.0
2014,"Newton County","05000US28101",12692.0
2010,"Atoka County","05000US40005",12688.0
2014,"Johnston County","05000US40069",12687.0
2012,"Calhoun County","05000US12013",12683.0
2013,"Wallace County","05000US20199",12681.0
2010,"Latimer County","05000US40077",12677.0
2014,"Foard County","05000US48155",12676.0
2011,"Montgomery County","05000US28097",12676.0
2013,"Terry County","05000US48445",12675.0
2011,"Letcher County","05000US21133",12670.0
2010,"Webster Parish","05000US22119",12670.0
2014,"Baker County","05000US13007",12667.0
2013,"Morehouse Parish","05000US22067",12667.0
2014,"Montgomery County","05000US28097",12666.0
2012,"Glades County","05000US12043",12660.0
2014,"Casey County","05000US21045",12658.0
2013,"Smith County","05000US47159",12656.0
2014,"Perry County","05000US28111",12654.0
2011,"Breathitt County","05000US21025",12652.0
2010,"Logan County","05000US54045",12647.0
2013,"Stonewall County","05000US48433",12645.0
2010,"Livingston Parish, LA","05000US22063",12644.0
2010,"Jackson Parish","05000US22049",12641.0
2012,"Perry County","05000US28111",12638.0
2012,"Dickens County","05000US48125",12635.0
2013,"Rawlins County","05000US20153",12630.0
2014,"Macon County","05000US47111",12626.0
2011,"Franklin County","05000US28037",12622.0
2014,"East Carroll Parish","05000US22035",12619.0
2014,"Livingston Parish, LA","05000US22063",12617.0
2011,"Chambers County","05000US48071",12615.0
2013,"Sevier County","05000US05133",12615.0
2010,"Hardeman County","05000US48197",12611.0
2010,"Cameron County, TX","05000US48061",12610.0
2012,"Union Parish","05000US22111",12610.0
2011,"Brooke County","05000US54009",12607.0
2014,"Stephens County","05000US48429",12602.0
2014,"Calhoun County","05000US12013",12602.0
2014,"Collingsworth County","05000US48087",12597.0
2012,"Graham County","05000US20065",12596.0
2014,"Allen County","05000US21003",12594.0
